,movie,year,imdb,votes,summary,storyline,summary_storyline
1,The Matrix,1999,8.7,1655041,"When beautiful stranger leads computer hacker Neo forbidding underworld , discovers shocking truth -- life knows elaborate deception evil cyber-intelligence .","Thomas A. Anderson man living two lives . By day average computer programmer night hacker known Neo . Neo always questioned reality , truth far beyond imagination . Neo finds targeted police contacted Morpheus , legendary computer hacker branded terrorist government . As rebel machines , Neo must confront agents : super-powerful computer programs devoted stopping Neo entire human rebellion .","When beautiful stranger leads computer hacker Neo forbidding underworld , discovers shocking truth -- life knows elaborate deception evil cyber-intelligence .Thomas A. Anderson man living two lives . By day average computer programmer night hacker known Neo . Neo always questioned reality , truth far beyond imagination . Neo finds targeted police contacted Morpheus , legendary computer hacker branded terrorist government . As rebel machines , Neo must confront agents : super-powerful computer programs devoted stopping Neo entire human rebellion ."
12,Terminator 2: Judgment Day,1991,8.5,986189,"A cyborg , identical one failed kill Sarah Connor , must protect teenage son , John Connor , advanced powerful cyborg .","Over 10 years passed since first machine called The Terminator tried kill Sarah Connor unborn son , John . The man become future leader human resistance Machines healthy young boy . However , another Terminator , called T-1000 , sent back time supercomputer Skynet . This new Terminator advanced powerful predecessor mission kill John Connor 's still child . However , Internet John face threat T-1000 alone . Another Terminator ( identical model tried failed kill Sarah Connor 1984 ) also sent back time protect . Now , battle tomorrow begun .","A cyborg , identical one failed kill Sarah Connor , must protect teenage son , John Connor , advanced powerful cyborg .Over 10 years passed since first machine called The Terminator tried kill Sarah Connor unborn son , John . The man become future leader human resistance Machines healthy young boy . However , another Terminator , called T-1000 , sent back time supercomputer Skynet . This new Terminator advanced powerful predecessor mission kill John Connor 's still child . However , Internet John face threat T-1000 alone . Another Terminator ( identical model tried failed kill Sarah Connor 1984 ) also sent back time protect . Now , battle tomorrow begun ."
15,The Truman Show,1998,8.1,926048,An insurance salesman discovers whole life actually reality TV show .,"Since birth , big fat lie defines well-organised humdrum life kind-hearted insurance salesman ambitious explorer , Truman Burbank . Utterly unaware thousands cleverly hidden cameras watching every move , nearly three decades , Truman 's entire existence pivots around wild imagination ruthlessly manipulative television producer , Christof -- all-powerful TV-God extreme 24/7 reality show : The Truman Show . As result , Truman 's picturesque neighbourhood manicured lawns uncannily perfect residents nothing elaborate state-of-the-art set , truth knows worldwide television network deep financial interests dictate . Do lab rats know forever imprisoned ?","An insurance salesman discovers whole life actually reality TV show .Since birth , big fat lie defines well-organised humdrum life kind-hearted insurance salesman ambitious explorer , Truman Burbank . Utterly unaware thousands cleverly hidden cameras watching every move , nearly three decades , Truman 's entire existence pivots around wild imagination ruthlessly manipulative television producer , Christof -- all-powerful TV-God extreme 24/7 reality show : The Truman Show . As result , Truman 's picturesque neighbourhood manicured lawns uncannily perfect residents nothing elaborate state-of-the-art set , truth knows worldwide television network deep financial interests dictate . Do lab rats know forever imprisoned ?"
19,Jurassic Park,1993,8.1,857727,A pragmatic paleontologist visiting almost complete theme park tasked protecting couple kids power failure causes park 's cloned dinosaurs run loose .,"Huge advancements scientific technology enabled mogul create island full living dinosaurs . John Hammond invited four individuals , along two grandchildren , join Jurassic Park . But everything go according plan ? A park employee attempts steal dinosaur embryos , critical security systems shut becomes race survival dinosaurs roaming freely island .","A pragmatic paleontologist visiting almost complete theme park tasked protecting couple kids power failure causes park 's cloned dinosaurs run loose .Huge advancements scientific technology enabled mogul create island full living dinosaurs . John Hammond invited four individuals , along two grandchildren , join Jurassic Park . But everything go according plan ? A park employee attempts steal dinosaur embryos , critical security systems shut becomes race survival dinosaurs roaming freely island ."
34,Star Wars: Episode I - The Phantom Menace,1999,6.5,721426,"Two Jedi escape hostile blockade find allies come across young boy may bring balance Force , long dormant Sith resurface claim original glory .","The evil Trade Federation , led Nute Gunray planning take peaceful world Naboo . Jedi Knights Qui-Gon Jinn Obi-Wan Kenobi sent confront leaders . But everything goes plan . The two Jedi escape , along new Gungan friend , Jar Jar Binks head Naboo warn Queen Amidala , droids already started capture Naboo Queen safe . Eventually , land Tatooine , become friends young boy known Anakin Skywalker . Qui-Gon curious boy , sees bright future . The group must find way getting Coruscant finally solve trade dispute , someone else hiding shadows . Are Sith really extinct ? Is Queen really says ? And 's special young boy ?","Two Jedi escape hostile blockade find allies come across young boy may bring balance Force , long dormant Sith resurface claim original glory .The evil Trade Federation , led Nute Gunray planning take peaceful world Naboo . Jedi Knights Qui-Gon Jinn Obi-Wan Kenobi sent confront leaders . But everything goes plan . The two Jedi escape , along new Gungan friend , Jar Jar Binks head Naboo warn Queen Amidala , droids already started capture Naboo Queen safe . Eventually , land Tatooine , become friends young boy known Anakin Skywalker . Qui-Gon curious boy , sees bright future . The group must find way getting Coruscant finally solve trade dispute , someone else hiding shadows . Are Sith really extinct ? Is Queen really says ? And 's special young boy ?"
61,12 Monkeys,1995,8.0,573365,"In future world devastated disease , convict sent back time gather information man-made virus wiped human population planet .","An intense film time travel , Sci-Fi entry directed Terry Gilliam , member comedy troupe Monty Python . The film stars Bruce Willis James Cole , prisoner state year 2035 earn parole agrees travel back time thwart devastating plague . The virus wiped Earth 's population remainder live underground air poisonous . Returning year 1990 , six years start plague , Cole soon imprisoned psychiatric facility warnings sound like mad ravings . There meets scientist named Dr. Kathryn Railly ( Madeleine Stowe ) Jeffrey Goines ( Brad Pitt ) , mad son eminent virologist ( Christopher Plummer ) . Cole returned authorities year 2035 , finally ends intended destination 1996 . He kidnaps Dr. Railly order enlist help quest . Cole discovers graffiti apparent animal rights group called Army ...","In future world devastated disease , convict sent back time gather information man-made virus wiped human population planet .An intense film time travel , Sci-Fi entry directed Terry Gilliam , member comedy troupe Monty Python . The film stars Bruce Willis James Cole , prisoner state year 2035 earn parole agrees travel back time thwart devastating plague . The virus wiped Earth 's population remainder live underground air poisonous . Returning year 1990 , six years start plague , Cole soon imprisoned psychiatric facility warnings sound like mad ravings . There meets scientist named Dr. Kathryn Railly ( Madeleine Stowe ) Jeffrey Goines ( Brad Pitt ) , mad son eminent virologist ( Christopher Plummer ) . Cole returned authorities year 2035 , finally ends intended destination 1996 . He kidnaps Dr. Railly order enlist help quest . Cole discovers graffiti apparent animal rights group called Army ..."
73,Independence Day,1996,7.0,523963,"The aliens coming goal invade destroy Earth . Fighting superior technology , mankind 's best weapon survive .","On July 2nd , communications systems worldwide sent chaos strange atmospheric interference . It soon learned military number enormous objects collision course Earth . At first thought meteors , later revealed gigantic spacecraft , piloted mysterious alien species . After attempts communicate aliens go nowhere , David Levinson , ex-scientist turned cable technician , discovers aliens going attack major points around globe less day . On July 3rd , aliens obliterate New York , Los Angeles Washington , well Paris , London , Houston Moscow . The survivors set convoys towards Area 51 , strange government testing ground rumored military captured alien spacecraft . The survivors devise plan fight back enslaving aliens , July 4th becomes day humanity fight freedom . July 4th ...","The aliens coming goal invade destroy Earth . Fighting superior technology , mankind 's best weapon survive .On July 2nd , communications systems worldwide sent chaos strange atmospheric interference . It soon learned military number enormous objects collision course Earth . At first thought meteors , later revealed gigantic spacecraft , piloted mysterious alien species . After attempts communicate aliens go nowhere , David Levinson , ex-scientist turned cable technician , discovers aliens going attack major points around globe less day . On July 3rd , aliens obliterate New York , Los Angeles Washington , well Paris , London , Houston Moscow . The survivors set convoys towards Area 51 , strange government testing ground rumored military captured alien spacecraft . The survivors devise plan fight back enslaving aliens , July 4th becomes day humanity fight freedom . July 4th ..."
76,Men in Black,1997,7.3,511985,A police officer joins secret organization polices monitors extraterrestrial interactions Earth .,"Based comic book . Unbeknownst people , private agency code named MiB . This agency kind extra terrestrial surveillance corporation . Then , one agency 's finest men going name `` K '' ( Tommy Lee Jones ) , recruiting new addition agency . He chosen James Edwards ( Will Smith ) N.Y.P.D . Then , one day , flying saucer crashes Earth . This alien part `` Bug '' race . He takes body farmer ( Vincent D'Onofrio ) heads New York . He searching super energy source called `` The Galaxy '' . Now , Agents J K must stop bug escape galaxy .","A police officer joins secret organization polices monitors extraterrestrial interactions Earth .Based comic book . Unbeknownst people , private agency code named MiB . This agency kind extra terrestrial surveillance corporation . Then , one agency 's finest men going name `` K '' ( Tommy Lee Jones ) , recruiting new addition agency . He chosen James Edwards ( Will Smith ) N.Y.P.D . Then , one day , flying saucer crashes Earth . This alien part `` Bug '' race . He takes body farmer ( Vincent D'Onofrio ) heads New York . He searching super energy source called `` The Galaxy '' . Now , Agents J K must stop bug escape galaxy ."
100,The Fifth Element,1997,7.7,430186,"In colorful future , cab driver unwittingly becomes central figure search legendary cosmic weapon keep Evil Mr. Zorg bay .","In twenty-third century , universe threatened evil . The hope mankind Fifth Element , comes Earth every five thousand years protect humans four stones four elements : fire , water , Earth air . A Mondoshawan spacecraft bringing The Fifth Element back Earth destroyed evil Mangalores . However , team scientists use DNA remains Fifth Element rebuild perfect called Leeloo . She escapes laboratory stumbles upon taxi driver former elite commando Major Korben Dallas helps escape police . Leeloo tells must meet Father Vito Cornelius accomplish mission . Meanwhile , Evil uses greedy cruel Jean-Baptiste Emanuel Zorg team mercenary Mangalores retrieve stones avoid protection Leeloo . But skilled Korben Dallas fallen love Leeloo decides help retrieve stones .","In colorful future , cab driver unwittingly becomes central figure search legendary cosmic weapon keep Evil Mr. Zorg bay .In twenty-third century , universe threatened evil . The hope mankind Fifth Element , comes Earth every five thousand years protect humans four stones four elements : fire , water , Earth air . A Mondoshawan spacecraft bringing The Fifth Element back Earth destroyed evil Mangalores . However , team scientists use DNA remains Fifth Element rebuild perfect called Leeloo . She escapes laboratory stumbles upon taxi driver former elite commando Major Korben Dallas helps escape police . Leeloo tells must meet Father Vito Cornelius accomplish mission . Meanwhile , Evil uses greedy cruel Jean-Baptiste Emanuel Zorg team mercenary Mangalores retrieve stones avoid protection Leeloo . But skilled Korben Dallas fallen love Leeloo decides help retrieve stones ."
113,Back to the Future Part III,1990,7.4,400877,"Stranded 1955 , Marty McFly learns death Doc Brown 1885 must travel back time save . With fuel readily available DeLorean , two must figure escape Old West Emmett murdered .","Stranded 1955 , Marty McFly receives written word friend , Doctor Emmett Brown , found DeLorean time machine . However , unfortunate discovery prompts Marty go friend 's aid . Using time machine , Marty travels old west friend run afoul gang thugs fallen love local schoolteacher . Using technology time , Marty Emmett devise one last chance send two back future .","Stranded 1955 , Marty McFly learns death Doc Brown 1885 must travel back time save . With fuel readily available DeLorean , two must figure escape Old West Emmett murdered .Stranded 1955 , Marty McFly receives written word friend , Doctor Emmett Brown , found DeLorean time machine . However , unfortunate discovery prompts Marty go friend 's aid . Using time machine , Marty travels old west friend run afoul gang thugs fallen love local schoolteacher . Using technology time , Marty Emmett devise one last chance send two back future ."
